energy_level,total_missions,easy_count,medium_count,hard_count,current_streak,target_growth
3,19,8,3,8,17,0.4173
3,16,2,13,1,3,0.2740
3,26,20,2,4,6,0.4240
2,32,19,7,6,6,0.5260
2,26,14,2,10,4,0.4347
3,23,7,12,4,28,0.5487
2,28,13,5,10,16,0.5487
3,29,8,12,9,7,0.5127
1,24,18,4,2,10,0.4187
2,10,7,0,3,2,0.1653
3,12,7,0,5,27,0.3680
1,18,10,5,3,1,0.2807
1,11,1,1,9,0,0.1920
3,15,4,3,8,17,0.3613
3,31,13,14,4,28,0.6647
3,22,5,10,7,4,0.3827
2,32,14,12,6,7,0.5427
2,26,15,3,8,27,0.5820
1,24,11,11,2,15,0.4660
3,33,18,15,0,13,0.5787
2,24,5,13,6,26,0.5593
1,27,9,12,6,2,0.4393
3,25,3,12,10,3,0.4340
1,25,15,10,0,4,0.3967
1,20,12,5,3,12,0.3820
3,34,20,8,6,9,0.5760
3,4,2,0,2,22,0.2107
1,5,0,1,4,29,0.2813
3,27,20,4,3,10,0.4647
3,29,18,3,8,5,0.4773
1,21,5,6,10,29,0.5393
1,18,12,2,4,27,0.4520
1,25,5,12,8,19,0.5327
3,31,17,7,7,8,0.5293
2,24,4,14,6,3,0.4080
1,31,12,11,8,6,0.5280
1,37,17,11,9,1,0.5827
3,19,10,3,6,12,0.3760
1,20,1,12,7,11,0.4053
2,26,14,3,9,15,0.5060
2,20,15,4,1,24,0.4520
3,27,10,13,4,2,0.4333
2,30,14,10,6,12,0.5440
3,27,10,10,7,2,0.4393
3,42,17,15,10,1,0.6647
2,27,20,4,3,30,0.5980
3,17,10,5,2,10,0.3227
3,7,2,2,3,6,0.1540
3,33,15,12,6,5,0.5433
1,27,16,9,2,22,0.5507
1,35,12,13,10,26,0.7293
3,28,20,0,8,14,0.5173
2,24,9,13,2,13,0.4567
2,23,17,5,1,3,0.3560
3,32,12,10,10,30,0.7080
2,20,10,5,5,20,0.4433
2,15,0,14,1,23,0.3953
3,14,7,2,5,0,0.2200
